title;date;description;genre;rating;users_rating;votes;languages;directors;actors;runtime
#FriendButMarried 2;11/04/1998;Ayudia (Mawar De Jongh) is not satisfied enough in enjoying the moment as a wife, but she suddenly becomes pregnant. Her personality changes completely and becomes lazy and super sensitive.;Biography;13+;6.5;120;Indonesian;Rako Prijanto;['Adipati Dolken', 'Mawar Eva de Jongh', 'Vonny Cornellya', 'Sari Nila', 'Ivan Leonardy', 'Clay Gribble', 'Sarah Sechan', 'Jourdy Pranata', 'Tubagus Ali', 'Ravil Prasetya', 'Nagra Kautsar Pakusadewo', 'Canti Tachril', 'Thalia Basir', 'Sp Lili', 'Anna Tairas'];149
4 Mantan;30/07/2002;Sara, Airin, Rachel, and Amara were accidentally brought together after the death of their ex, Alex. All four received a letter saying that there was one killer among them.;Thriller;17+;6.4;8;Indonesian;Hanny Saputra;['Ranty Maria', 'Jeff Smith', 'Melanie Berentz', 'Denira Wiraguna', 'Melayu Nicole', 'Cinta Brian', 'Delano Daniel', 'Denny Weller', 'Mario Wiericx', 'Wani Siregar', 'Gary M. Iskak', 'Akja Dethan', 'Ayu Dyah Pasha', nan, nan];169
Aku Tahu Kapan Kamu Mati;22/12/2014;After apparent death, Siena is able to see signs that people will die. However, her friends did not believe in her abilities. Then, the sign appeared on her and those closest to her.;Horror;13+;5.4;17;Indonesian;Hadrah Daeng Ratu;['Natasha Wilona', 'Ria Ricis', 'Al Ghazali', 'Fitria Rasyidi', 'Ryma Karimah', 'Sonia Alexa', 'Asri Welas', 'Cathrine Wilson', 'Opie Kumis', 'Adinda Halona', 'Elizabeth Christine', 'Daus Separo', 'Rita Nurmaliza', 'Anastasia Adamova', nan];84
Anak Garuda;23/11/1971;Good Morning Indonesia, a school for poor orphans, invites seven children to become a team. But, jealousy and envy started because of the hidden love between them. They are sent to Europe without accompany, and the conflicts are exploded.;Adventure;13+;9.1;27;Indonesian;Faozan Rizal;['Tissa Biani Azzahra', 'Violla Georgie', 'Ajil Ditto', 'Clairine Clay', 'Geraldy Krechoff', 'Rania Putri Sari', 'Rebecca Klopper', 'Kiki Narendra', 'Krisjiana Baharuddin', 'Rizky Mocil', 'Faradina Mufti', 'Laras Sardi', 'Fatih Unru', 'Iqbal Solaiman', 'Toran Waibro'];154
Dignitate;22/05/1988;Alfi (Al Ghazali) meets Alana (Caitlin Halderman), a new student at school. It turns out that they are in one class and sitting next to each other. Instead of getting along, they often argue because they both are stubborn.;Drama;17+;7.6;33;Indonesian;Fajar Nugros;['Al Ghazali', 'Caitlin Halderman', 'Giorgino Abraham', 'Teuku Rizky Muhammad', 'Sophia Latjuba', 'Izabel Jahja', 'Budiman Sudjatmiko', 'Sonia Alyssa', 'Naimma Aljufri', 'Kiara Mckenna', 'Lania Fira', 'Kanneth Santana', 'Bramanta Sadhu', 'Dinda Kanyadewi', 'Mat Oil'];68
Guru-Guru Gokil;05/03/1985;When staff salaries get stolen at his school, a reluctant new teacher sets out to recoup the money and soon discovers the joys of teaching.;Comedy;;6.1;153;Indonesian;Sammaria Simanjuntak;['Gading Marten', 'Boris Bokir', 'Kevin Ardilova', 'Ibnu Jamil', 'Shakira Jasmine', 'Faradina Mufti', 'Nikandro Mailangkay', 'Dian Sastrowardoyo', 'Arswendi Nasution', 'Asri Welas', 'Kiki Narendra', 'Jean Marais', 'Sri Hartini', 'Aimee Saras', 'Tony Merle'];159
Janin;26/05/1964;Randu (Reuben Elishama Hadju) and Dinar (Jill Gladys) are happy because Dinar conceives for the fourth month. However, their happiness slowly disappears when a middle-aged woman, Sukma (...;Horror;17+;6.1;7;Indonesian;Ook Budiyono;['Jill Gladys', 'Reuben Elishama', 'Meriam Bellina', 'Arnold Leonard', 'Babe Cabita', 'Rhesa Putri', 'Richelle Georgette Skornicki', 'Regina Rengganis', 'Dayu Wijanto', nan, nan, nan, nan, nan, nan];79
Mangkujiwo;28/04/1977;A born of Kuntilanak from a Twin Mirror with her misery.;Horror;17+;5.9;67;Indonesian;Azhar Kinoi Lubis;['Sujiwo Tejo', 'Yasamin Jasem', 'Asmara Abigail', 'Roy Marten', 'Karina Suwandhi', 'Djenar Maesa Ayu', 'Samuel Rizal', 'Septian Dwi Cahyo', 'Kedung Darma R.', 'Landung Simatupang', 'Merriel Jessica Tarihoran', 'Elang El Gibran', 'Marcus Hacquebord', 'Gogot Suryanto', 'Kukuh'];173
Mariposa;18/04/1978;Iqbal (Angga Yunanda) is like a Mariposa butterfly to Acha (Adhisty Zara). Each time someone approach, he always runs away. Acha is determined to win Iqbal, a man known to be handsome, smart, yet cold.;Drama;13+;8.5;54;Indonesian;Fajar Bustomi;['Angga Yunanda', 'Adhisty Zara', 'Dannia Salsabila', 'Abun Sungkar', 'Junior Roberts', 'Syakir Daulay', 'Ariyo Wahab', 'Irgi Fahrezi', 'Ersa Mayori', 'Baim', 'Iszur Muchtar', 'Ruth Permatasari', 'Yudha Keling', 'Diaz Danar', 'Aris Nugraha'];96
Milea;19/12/1995;Milea made the decision to part with Dilan as a warning for Dilan to stay away from the motorcycle gang. But the parting which had been only a bluff for Milea became a parting that lasted until they graduated from college and grew up.;Drama;13+;6.1;239;Indonesian;Pidi Baiq;['Iqbaal Dhiafakhri Ramadhan', 'Vanesha Prescilla', 'Ira Wibowo', 'Bucek Depp', 'Happy Salma', 'Farhan', 'Yoriko Angeline', 'Debo Andryos', 'Zulfa Maharani', 'Gusti Rayhan', 'Omara N. Esteghlal', 'Giulio Parengkuan', 'Andovi Da Lopez', 'Jerome Kurnia', 'Tike Priatnakusumah'];141
